IT_NO ID WAGE_OFFER NO_EMPLOYEES EMPLOYEES_NEEDED SALES INVENTORY PRODUCTION_CURRENT PRODUCTION_PLAN UNIT_HOUSE_PRICE
3201 2 5.243890 19 25 0 73 2 17 138.409038
3201 3 5.241180 19 29 0 71 1 20 138.409038
3221 2 5.244212 25 18 0 74 1 12 138.409038
3221 3 5.244212 29 18 0 73 2 12 138.409038
3221 1 5.244212 20 25 0 68 2 17 138.409038
3241 1 5.251307 25 19 0 69 1 13 138.409038
3241 2 5.244212 18 23 0 76 2 16 138.409038
3241 3 5.244212 18 15 0 73 0 10 138.409038
3261 3 5.244212 15 23 0 74 1 16 138.409038
3261 2 5.252299 23 25 0 77 1 17 138.409038
3261 1 5.251307 19 28 0 70 1 19 138.409038
3281 3 5.253964 23 26 0 75 1 18 138.409038
3281 1 5.253964 28 10 0 72 2 7 138.409038
3281 2 5.253964 25 15 0 79 2 10 138.409038
3301 1 5.253964 10 26 0 72 0 18 138.409038
3301 3 5.255432 26 16 0 77 2 11 138.409038
3301 2 5.253964 15 18 0 80 1 12 138.409038
3321 2 5.250239 18 29 0 81 1 20 138.409038
